
['nisha_rajesh15', 7, 0, None, 143, 171, '17841404068103401', False, 0, False, None, None, True, 7, 0, 306, 54]
['_praveena_kumaraswamy', 7, 17, 'https://youtube.com/channel/UCH_Ry-0CaQmyEpBSSygjh9Q', 699, 681, '17841403890962957', False, 6, False, None, None, True, 48, 66, 3879, 398]
['sachisinsta', 7, 0, None, 87, 297, '17841403472359090', False, 0, False, None, None, True, 59, 6, 362, 31]
['karthika_kan', 7, 44, None, 300, 366, '17841412966829537', False, 1, False, None, None, True, 18, 28, 1753, 104]
['hk_sud_30', 7, 39, None, 261, 361, '17841416363355166', False, 2, False, None, None, True, 0, 0, 0, 0]
['vijay.7144', 7, 0, None, 77, 90, '17841411792416341', False, 0, False, None, None, False, 3, 0, 66, 1]
['mt_rajesh', 7, 0, None, 48, 80, '17841403888354754', False, 0, False, None, None, True, 1, 2, 16, 1]
['_malavika_shankar', 7, 0, None, 328, 221, '17841411674253455', False, 3, False, None, None, True, 0, 0, 0, 0]
['gayathri_palacherla', 7, 25, None, 604, 565, '17841404666066702', False, 0, False, None, None, True, 26, 5, 1452, 24]
['kvgopika', 7, 0, None, 422, 667, '17841405042918872', False, 0, False, None, None, True, 29, 7, 3059, 207]
['_darsh.mk_', 7, 1, None, 382, 349, '17841402182454835', False, 2, False, None, None, True, 12, 4, 1332, 310]
['___shra_dha___', 7, 82, None, 553, 525, '17841404892095647', False, 9, False, None, None, True, 8, 19, 1411, 247]
['__rapunzel0_', 7, 37, None, 187, 326, '17841409367927256', False, 0, False, None, None, True, 2, 0, 88, 0]
['simalnkv', 7, 0, None, 708, 691, '17841405441842046', False, 6, False, None, None, True, 25, 21, 3872, 202]
['rohan_prasanth', 7, 14, None, 643, 505, '17841403111332094', False, 4, True, None, None, False, 1, 2, 221, 27]
['the.fluffy.whisk', 7, 150, None, 679, 94, '17841440591680848', True, 17, True, None, None, False, 184, 1, 504, 10]
['shibinka123', 7, 23, None, 140, 315, '17841400801800098', False, 0, False, None, None, True, 129, 0, 316, 5]
['aparnamadhavan_', 7, 18, None, 350, 718, '17841405891659184', False, 8, False, None, None, True, 18, 4, 836, 56]
['niranjan951._', 7, 0, None, 515, 582, '17841403908501740', False, 0, False, None, None, True, 1, 0, 190, 10]
['adithya_sadasivan', 7, 0, None, 128, 410, '17841422163334195', False, 0, False, None, None, True, 0, 0, 0, 0]
['__saikrishna_challa__', 7, 75, None, 544, 506, '17841428493925980', False, 0, False, None, None, True, 20, 20, 2353, 434]
['devika_rakesh', 7, 3, None, 454, 434, '17841429571452379', True, 5, False, None, None, True, 2, 1, 323, 2]
['muskaan_rj', 7, 30, None, 727, 2126, '17841416285632165', True, 11, False, None, None, True, 34, 1, 3626, 270]
['b_rohith_krishnaaaa', 7, 62, None, 3068, 1270, '17841403846714932', False, 5, False, None, None, True, 1, 11, 653, 29]
['murallinmbr', 7, 0, None, 87, 93, '17841406216483162', False, 0, False, None, None, True, 84, 0, 144, 9]
['v_e_e_r_333', 7, 14, None, 210, 218, '17841405244514041', False, 1, False, None, None, True, 14, 5, 827, 41]
